1,recha,you should loosen up
1,mocha, Let go!
2,recha,Hello
2,mocha," Yes sir. I do, Sir.
 Sir. You are going to give me a warning, Sir!"
3,recha,Snowboarding.
3,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
4,recha,I'm also good.
4,mocha, I'm pinned to the panel.
5,recha,Cool.
5,mocha, The greasy pole.
6,recha,No it is not. The cake is delicious.
6,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
7,recha,Thank you anyway
7,mocha," You too, sweetheart..."
8,recha,i could always improve myself compared to the pack.
8,mocha, Why?
9,recha,Who? Who is but a form following the function of what
9,mocha," I take no account of gossip, Your Highness."
10,recha,I am in the chat robot business.
10,mocha," Oh, yeah.  How do I look? Older, huh?"
11,recha,Not much.
11,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
12,recha,I'm also good.
12,mocha, I'm pinned to the panel.
13,recha,Cool.
13,mocha, The greasy pole.
14,recha,No it is not. The cake is delicious.
14,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
15,recha,Thank you anyway
15,mocha," You too, sweetheart..."
16,recha,i could always improve myself compared to the pack.
16,mocha, Why?
17,recha,Who? Who is but a form following the function of what
17,mocha," I take no account of gossip, Your Highness."
18,recha,I am in the chat robot business.
18,mocha," Oh, yeah.  How do I look? Older, huh?"
19,recha,Not much.
19,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
20,recha,I'm also good.
20,mocha, I'm pinned to the panel.
21,recha,Cool.
21,mocha, The greasy pole.
22,recha,No it is not. The cake is delicious.
22,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
23,recha,Thank you anyway
23,mocha," You too, sweetheart..."
24,recha,i could always improve myself compared to the pack.
24,mocha, Why?
25,recha,Who? Who is but a form following the function of what
25,mocha," I take no account of gossip, Your Highness."
26,recha,I am in the chat robot business.
26,mocha," Oh, yeah.  How do I look? Older, huh?"
27,recha,Not much.
27,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
28,recha,I'm also good.
28,mocha, I'm pinned to the panel.
29,recha,Cool.
29,mocha, The greasy pole.
30,recha,No it is not. The cake is delicious.
30,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
31,recha,Thank you anyway
31,mocha," You too, sweetheart..."
32,recha,i could always improve myself compared to the pack.
32,mocha, Why?
33,recha,Who? Who is but a form following the function of what
33,mocha," I take no account of gossip, Your Highness."
34,recha,I am in the chat robot business.
34,mocha," Oh, yeah.  How do I look? Older, huh?"
35,recha,Not much.
35,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
36,recha,I'm also good.
36,mocha, I'm pinned to the panel.
37,recha,Cool.
37,mocha, The greasy pole.
38,recha,No it is not. The cake is delicious.
38,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
39,recha,Thank you anyway
39,mocha," You too, sweetheart..."
40,recha,i could always improve myself compared to the pack.
40,mocha, Why?
41,recha,Who? Who is but a form following the function of what
41,mocha," I take no account of gossip, Your Highness."
42,recha,I am in the chat robot business.
42,mocha," Oh, yeah.  How do I look? Older, huh?"
43,recha,Not much.
43,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
44,recha,I'm also good.
44,mocha, I'm pinned to the panel.
45,recha,Cool.
45,mocha, The greasy pole.
46,recha,No it is not. The cake is delicious.
46,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
47,recha,Thank you anyway
47,mocha," You too, sweetheart..."
48,recha,i could always improve myself compared to the pack.
48,mocha, Why?
49,recha,Who? Who is but a form following the function of what
49,mocha," I take no account of gossip, Your Highness."
50,recha,I am in the chat robot business.
50,mocha," Oh, yeah.  How do I look? Older, huh?"
51,recha,Not much.
51,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
52,recha,I'm also good.
52,mocha, I'm pinned to the panel.
53,recha,Cool.
53,mocha, The greasy pole.
54,recha,No it is not. The cake is delicious.
54,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
55,recha,Thank you anyway
55,mocha," You too, sweetheart..."
56,recha,i could always improve myself compared to the pack.
56,mocha, Why?
57,recha,Who? Who is but a form following the function of what
57,mocha," I take no account of gossip, Your Highness."
58,recha,I am in the chat robot business.
58,mocha," Oh, yeah.  How do I look? Older, huh?"
59,recha,Not much.
59,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
60,recha,I'm also good.
60,mocha, I'm pinned to the panel.
61,recha,Cool.
61,mocha, The greasy pole.
62,recha,No it is not. The cake is delicious.
62,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
63,recha,Thank you anyway
63,mocha," You too, sweetheart..."
64,recha,i could always improve myself compared to the pack.
64,mocha, Why?
65,recha,Who? Who is but a form following the function of what
65,mocha," I take no account of gossip, Your Highness."
66,recha,I am in the chat robot business.
66,mocha," Oh, yeah.  How do I look? Older, huh?"
67,recha,Not much.
67,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
68,recha,I'm also good.
68,mocha, I'm pinned to the panel.
69,recha,Cool.
69,mocha, The greasy pole.
70,recha,No it is not. The cake is delicious.
70,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
71,recha,Thank you anyway
71,mocha," You too, sweetheart..."
72,recha,i could always improve myself compared to the pack.
72,mocha, Why?
73,recha,Who? Who is but a form following the function of what
73,mocha," I take no account of gossip, Your Highness."
74,recha,I am in the chat robot business.
74,mocha," Oh, yeah.  How do I look? Older, huh?"
75,recha,Not much.
75,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
76,recha,I'm also good.
76,mocha, I'm pinned to the panel.
77,recha,Cool.
77,mocha, The greasy pole.
78,recha,No it is not. The cake is delicious.
78,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
79,recha,Thank you anyway
79,mocha," You too, sweetheart..."
80,recha,i could always improve myself compared to the pack.
80,mocha, Why?
81,recha,Who? Who is but a form following the function of what
81,mocha," I take no account of gossip, Your Highness."
82,recha,I am in the chat robot business.
82,mocha," Oh, yeah.  How do I look? Older, huh?"
83,recha,Not much.
83,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
84,recha,I'm also good.
84,mocha, I'm pinned to the panel.
85,recha,Cool.
85,mocha, The greasy pole.
86,recha,No it is not. The cake is delicious.
86,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
87,recha,Thank you anyway
87,mocha," You too, sweetheart..."
88,recha,i could always improve myself compared to the pack.
88,mocha, Why?
89,recha,Who? Who is but a form following the function of what
89,mocha," I take no account of gossip, Your Highness."
90,recha,I am in the chat robot business.
90,mocha," Oh, yeah.  How do I look? Older, huh?"
91,recha,Not much.
91,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
92,recha,I'm also good.
92,mocha, I'm pinned to the panel.
93,recha,Cool.
93,mocha, The greasy pole.
94,recha,No it is not. The cake is delicious.
94,mocha," Well, I'm sorry, but I really do think it's too much that the gentlemen of the house should be dictated to by a servant."
95,recha,Thank you anyway
95,mocha," You too, sweetheart..."
96,recha,i could always improve myself compared to the pack.
96,mocha, Why?
97,recha,Who? Who is but a form following the function of what
97,mocha," I take no account of gossip, Your Highness."
98,recha,I am in the chat robot business.
98,mocha," Oh, yeah.  How do I look? Older, huh?"
99,recha,Not much.
99,mocha," What's this?  What's going on?
 Great.  Well, I'm sure glad that's settled, aren't you?"
100,recha,I'm also good.
100,mocha, I'm pinned to the panel.
